"Time","Sound pressure level"
1.261334490E2,-4.872602986E1
1.262463200E2,-4.980368193E1
1.263539310E2,-3.708008585E1
1.264647330E2,-4.123231469E1
1.265777080E2,-4.324778608E1
1.266836890E2,-4.828666268E1
1.267877560E2,-4.858313801E1
1.269005100E2,-4.899330187E1
1.270074310E2,-4.893940643E1
1.271172500E2,-4.678116534E1
1.272241610E2,-4.206503683E1
1.273340549E2,-4.460568473E1
1.274409860E2,-4.809893232E1
1.275549630E2,-4.383380655E1
1.276675880E2,-4.900604758E1
1.277803611E2,-4.459374656E1
1.278842540E2,-4.560730351E1
1.279963330E2,-4.613898572E1
1.281028470E2,-4.828591889E1
1.282157100E2,-4.826123927E1
1.283227381E2,-4.880650789E1
1.284346160E2,-4.921511146E1
1.285393710E2,-4.935838122E1
1.286514560E2,-4.273035987E1
1.287560830E2,-4.379007107E1
1.288682140E2,-4.891894986E1
1.289727840E2,-3.987875614E1
1.290849611E2,-4.719626349E1
1.291893920E2,-4.329607253E1
1.293017020E2,-4.664694904E1
1.294060550E2,-3.940986266E1
1.295184000E2,-4.202979359E1
1.296227469E2,-4.619274226E1
1.297352080E2,-4.720442385E1
1.298394001E2,-4.824911209E1
1.299556299E2,-4.985871770E1
1.300588191E2,-4.985871770E1
1.301687770E2,-4.467914028E1
1.302741261E2,-4.691646119E1
1.303856670E2,-4.836336756E1
1.304894670E2,-4.769026025E1
1.306023440E2,-4.724131247E1
1.307060300E2,-4.098918319E1
1.308188980E2,-4.421933038E1
1.309227140E2,-4.400844146E1
1.310336820E2,-4.643637405E1
1.311393970E2,-4.673943475E1
1.312441680E2,-4.403177979E1
1.313563880E2,-4.498142690E1
1.314619170E2,-4.508671539E1
1.315727160E2,-4.698474216E1
1.316854290E2,-3.916513298E1
1.317989990E2,-4.481548973E1
1.319029750E2,-4.792703390E1
1.320156540E2,-4.774261378E1
1.321197320E2,-4.764098481E1
1.322323520E2,-4.765721300E1
1.323444769E2,-4.891635784E1
1.324532590E2,-4.886102733E1
1.325656530E2,-3.893253271E1
1.326699820E2,-4.131647600E1
1.327823220E2,-4.771643844E1
1.328868080E2,-4.900471107E1
1.329988641E2,-4.809442238E1
1.331035560E2,-4.445782802E1
1.332152970E2,-4.807099375E1
1.333203290E2,-4.886542843E1
1.334333020E2,-4.970586000E1
1.335372390E2,-4.789917368E1
1.336504860E2,-4.822877999E1
1.337638290E2,-4.577806943E1
1.338706800E2,-4.646966433E1
1.339834620E2,-4.780101883E1
1.340873990E2,-4.779859242E1
1.341996371E2,-4.908858734E1
1.343041430E2,-4.186562441E1
1.344131240E2,-4.528538570E1
1.345208920E2,-4.107853524E1
1.346327780E2,-4.802381120E1
1.347377090E2,-4.917996367E1
1.348493980E2,-4.928879641E1
1.349614470E2,-4.946301988E1
1.350711091E2,-4.954650944E1
1.351827019E2,-5.019643409E1
1.352879730E2,-5.014189669E1
1.353994000E2,-4.477607012E1
1.355047590E2,-4.739111339E1
1.356160671E2,-4.826664944E1
1.357214890E2,-4.997305717E1
1.358327399E2,-5.030191777E1
1.359382761E2,-4.923814225E1
1.360493820E2,-4.925091757E1
1.361588180E2,-4.522945414E1
1.362718040E2,-5.013242107E1
1.363827240E2,-4.509972415E1
1.364885679E2,-4.408217943E1
1.365995280E2,-4.835313176E1
1.367053140E2,-4.993876234E1
1.368160750E2,-4.938479837E1
1.369220550E2,-4.905586551E1
1.370327370E2,-4.882536595E1
1.371388310E2,-4.904074073E1
1.372493950E2,-4.933943108E1
1.373597190E2,-4.847579655E1
1.374723639E2,-4.913145620E1
1.375827210E2,-4.945848821E1
1.376891310E2,-4.243675962E1
1.377993170E2,-4.729143130E1
1.379058750E2,-4.858870493E1
1.380160590E2,-4.193484772E1
1.381227680E2,-4.180710997E1
1.382327271E2,-4.138532338E1
1.383429600E2,-4.115504941E1
1.384558280E2,-4.755945691E1
1.385621181E2,-4.409395630E1
1.386729490E2,-4.979989189E1
1.387786970E2,-4.765758561E1
1.388897530E2,-4.886311645E1
1.390019569E2,-4.951002024E1
1.391064880E2,-4.858062189E1
1.392186379E2,-4.179661533E1
1.393261790E2,-4.923247976E1
1.394392390E2,-4.747743193E1
1.395546790E2,-4.246634994E1
1.396666820E2,-4.714043482E1
1.397735670E2,-4.867839541E1
